,Part No.,Cell,Cust,Tech,Vehicle,Customer Demand,QPC,,Pcs/ Changovr,Chgovrs/ Day,Time/ Chgovr,Total Chgovr Time,Chgovr Time/Line,Chgovr Time/Line/Pc,,# Online Assoc, # Offline Assoc , # ATL ,Shift Hours,PF&D Allow,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc,7 Assoc
7V2597-707F4E,7V2597-707,F4E,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2604-707F4E,7V2604-707,F4E,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2607-707F4E,7V2607-707,F4E,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2070-707F4F,7V2070-707,F4F,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V1390-707F4F,7V1390-707,F4F,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2210-707F60,7V2210-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2214-707F60,7V2214-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2211-707F60,7V2211-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1210-707F60,7V1210-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1214-707F60,7V1214-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1211-707F60,7V1211-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2380-707F60,7V2380-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2388-707F60,7V2388-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1380-707F60,7V1380-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1388-707F60,7V1388-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2750-707F60,7V2750-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2758-708F60,7V2758-708,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1750-707F60,7V1750-707,F60,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
