Dock code,QSS Item,CUST #,Tech,Cell,Back no,AF0628,AF0705,AF0712,AF0719,AF0726,AF0802,AF0809,AF0816,AF0823,AF0830,AF0906,AF0913,AF0920,AF0927,AF1004,AF1011,AF1018,AF1025,AF1101,AF1108,AF1115,AF1122,AF1129,AF1206
ATS,7V1840-701,C029,B15,CF6,1QS625,0,0,0,0,0,0,27,27,27,27,27,27,27,140,117,94,117,117,117,117,117,70,117,117
ATS,7V1484-701,C029,B15,CF6,1QS503,27,35,63,0,63,9,27,27,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0
ATS,7V1844-701,C029,B15,CF6,1QS626,0,0,0,0,0,0,27,27,27,27,27,27,27,140,117,94,117,117,117,117,117,70,117,117
ATS,7V1577-701,C029,B15,CF6,1QS507,0,0,0,0,0,0,0,0,0,0,0,0,0,36,30,24,30,30,30,30,30,18,30,30
ATS,7V1570-701,C029,B15,CF6,1QS508,105,130,225,30,120,90,105,90,90,90,60,75,75,144,120,96,120,120,120,120,120,72,120,120
ATS,7V1587-701,C029,B15,CF6,1QS512,9,10,0,0,9,0,0,0,9,9,0,0,0,22,18,14,18,18,18,18,18,11,18,18
ATS,7V1580-701,C029,B15,CF6,1QS513,207,260,378,63,333,153,189,162,189,144,126,162,180,292,243,194,243,243,243,243,243,146,243,243
ATS,7V1584-701,C029,B15,CF6,1QS514,9,10,18,0,27,9,9,9,9,18,9,9,9,43,36,29,36,36,36,36,36,22,36,36
ATS,7V1667-701,C029,B15,CF6,1QS521,735,920,960,150,960,1155,1260,1170,1395,1140,915,1155,1395,324,270,216,270,270,270,270,270,162,270,270
ATS,7V1857-701,C029,B15,CF6,1QS630,0,0,0,0,0,0,180,180,180,180,180,180,180,1044,870,696,870,870,870,870,870,522,870,870
ATS,7V1660-701-C0,C029,B15,CF6,1QS522,1815,2270,2550,405,2130,2610,3255,2670,3195,2625,2100,2625,3120,648,540,432,540,540,540,540,540,324,540,540
ATS,7V1850-701,C029,B15,CF6,1QS631,0,0,0,0,0,0,180,180,180,180,180,180,180,1044,870,696,870,870,870,870,870,522,870,870
